lat,lon,doc,id
41.4476,-87.3363,1,1069
41.4481,-87.3284,1,1070
41.44851,-87.33857,1,1071
41.45065,-87.54922,1,1072
41.451,-87.3635,2,1073
41.451,-87.3348,2,1074
41.451,-87.3339,2,1075
41.45147,-87.47101,2,1076
41.4518,-87.3339,2,1077
41.4519,-87.4702,2,1078
41.4525,-87.3332,1,1079
41.4545,-87.3325,1,1080
41.4546,-87.3318,3,1081
41.45471,-87.6973,1,1082
41.4548,-87.335,6,1083
41.45484,-87.33269,1,1084
41.4551,-87.3323,2,1085
41.45527,-87.33176,1,1086
41.4553,-87.3319,2,1087
41.4557,-87.3357,1,1088
41.4558,-87.3357,1,1089
41.4559,-87.3335,1,1090
41.4559,-87.3326,1,1091
41.4562,-87.3347,4,1092
41.4569,-87.3351,9,1093
41.4569,-87.3337,1,1094
41.4569,-87.3311,2,1095
41.45726,-87.33113,1,1096
41.45728,-87.33595,1,1097
41.4574,-87.3397,10,1098
41.4577,-87.3325,10,1099
41.4579,-87.3347,3,1100
41.45793,-87.33469,4,1101
41.4582,-87.3316,14,1102
41.45851,-87.33355,3,1103
41.45855,-87.33561,1,1104
41.45938,-87.33478,3,1105
41.45977,-87.33262,1,1106
41.4605,-87.3337,7,1107
41.4605,-87.3306,5,1108
41.4607,-87.33378,1,1109
41.4607,-87.3323,1,1110
41.46076,-87.33124,2,1111
41.4608,-87.33244,1,1112
41.4608,-87.3312,3,1113
41.4609,-87.3381,1,1114
41.46101,-87.39937,1,1115
41.4612,-87.3345,1,1116
41.4612,-87.33373,1,1117
41.4612,-87.3334,7,1118
41.4615,-87.3326,1,1119
41.4616,-87.3372,1,1120
41.4619,-87.3309,5,1121
41.46219,-87.36492,1,1122
41.46219,-87.32873,1,1123
41.4625,-87.338,7,1124
41.4628,-87.3303,1,1125
41.4629,-87.3363,1,1126
41.4629,-87.3362,1,1127
41.463,-87.3344,1,1128
41.4633,-87.3368,2,1129
41.4634,-87.3633,2,1130
41.4634,-87.338,1,1131
41.4637,-87.3334,1,1132
41.4637,-87.32,1,1133
41.4637,-87.3183,1,1134
41.46435,-87.33301,1,1135
41.46438,-87.32024,2,1136
41.4645,-87.3185,1,1137
41.4646,-87.3398,2,1138
41.46526,-87.32073,1,1139
41.4655,-87.3411,7,1140
41.4666,-87.3366,3,1141
41.46697,-87.29811,1,1142
41.46875,-87.46916,1,1143
41.46903,-87.34286,1,1144
41.46958,-87.88301,1,1145
41.4696,-87.3284,1,1146
41.4699,-87.4704,1,1147
41.4703,-87.2896,1,1148
41.4708,-87.2507,1,1149
41.4709,-87.3298,1,1150
41.4709,-87.298,1,1151
41.4718,-87.2911,1,1152
41.4719,-87.3424,3,1153
41.4723,-87.3618,1,1154
41.4723,-87.3617,1,1155
41.4729,-87.3345,4,1156
41.47317,-87.39805,1,1157
41.4733,-87.33437,2,1158
41.4736,-87.3992,1,1159
41.4737,-87.3261,5,1160
41.4738,-87.3403,1,1161
41.4738,-87.3389,4,1162
41.47381,-87.39504,1,1163
41.47384,-87.40042,1,1164
41.474,-87.2572,1,1165
41.4742,-87.4016,3,1166
41.47422,-87.25846,2,1167
41.4747,-87.6331,1,1168
41.47482,-87.4016,1,1169
41.475,-87.2576,12,1170
41.4754,-87.3382,2,1171
41.4758,-87.6373,1,1172
41.4758,-87.3372,1,1173
41.4758,-87.3352,4,1174
41.4759,-87.4022,1,1175
41.47644,-87.40839,1,1176
41.4765,-87.4035,4,1177
41.47669,-87.33523,1,1178
41.4767,-87.3352,4,1179
41.4775,-87.3351,1,1180
41.47797,-87.41385,1,1181
41.4781,-87.6383,2,1182
41.4793,-87.4165,2,1183
41.4802,-87.6441,1,1184
41.48035,-87.80425,1,1185
41.4808,-87.42663,2,1186
41.48087,-87.42661,1,1187
41.48111,-87.95708,1,1188
41.4814,-87.4268,4,1189
41.48149,-87.95721,2,1190
41.4815,-87.9572,1,1191
41.48165,-87.90032,1,1192
41.4819,-87.6799,1,1193
41.4821,-87.9815,1,1194
41.48242,-87.67829,1,1195
41.4838,-87.7223,1,1196
41.4839,-87.726,2,1197
41.48446,-87.44649,2,1198
41.48576,-87.46981,1,1199
41.4858,-87.4698,5,1200
41.4859,-87.3398,1,1201
41.486,-88.0812,6,1202
41.4864,-87.3993,1,1203
41.4869,-87.4506,1,1204
41.4874,-87.7123,1,1205
41.4877,-87.574,1,1206
41.4882,-87.79457,1,1207
41.4885,-87.4576,1,1208
41.4899,-87.4722,3,1209
41.4901,-87.4641,1,1210
41.4903,-87.4763,3,1211
41.4904,-87.4584,1,1212
41.4905,-87.4646,1,1213
41.49051,-87.46327,3,1214
41.49054,-87.46578,1,1215
41.4911,-87.5081,3,1216
41.4911,-87.507,1,1217
41.4911,-87.5059,1,1218
41.49115,-87.52541,1,1219
41.4912,-87.5009,1,1220
41.4912,-87.5004,4,1221
41.4914,-87.506,1,1222
41.4918,-87.4745,1,1223
41.492,-87.4992,1,1224
41.492,-87.4985,1,1225
41.4923,-87.5223,3,1226
41.4927,-87.5244,15,1227
41.493,-87.5012,2,1228
41.49304,-87.52294,6,1229
41.49349,-87.47562,1,1230
41.4937,-87.5215,1,1231
41.4939,-87.5187,3,1232
41.4941,-87.475,1,1233
41.49431,-87.52377,8,1234
41.49505,-87.46965,1,1235
41.4955,-87.6865,2,1236
41.4959,-87.8487,1,1237
41.496,-88.1638,10,1238
41.4967,-88.1677,1,1239
41.4974,-87.90287,1,1240
41.4975,-87.9673,1,1241
41.49838,-87.47095,1,1242
41.4984,-87.4709,1,1243
41.49843,-87.65494,2,1244
41.50098,-87.66358,1,1245
41.5018,-87.8496,2,1246
41.5019,-88.1679,1,1247
41.503,-87.6386,2,1248
41.5035,-87.6358,2,1249
41.5039,-87.8507,1,1250
41.5041,-88.068,7,1251
41.5041,-88.06795,1,1252
41.5041,-87.5962,3,1253
41.5042,-87.6392,10,1254
41.50429,-87.6391,2,1255
41.5043,-87.8532,2,1256
41.50433,-87.85322,1,1257
41.5046,-87.8673,2,1258
41.50465,-87.89177,1,1259
41.5048,-87.8681,1,1260
41.50482,-87.86659,1,1261
41.5049,-87.8508,5,1262
41.505,-87.8635,2,1263
41.505,-87.6393,32,1264
41.5051,-87.6664,2,1265
41.5051,-87.6625,1,1266
41.5052,-87.8629,1,1267
41.5052,-87.7272,1,1268
41.50535,-87.86426,2,1269
41.50537,-87.86429,1,1270
41.5054,-87.8635,1,1271
41.50548,-88.06893,1,1272
41.5055,-87.8782,1,1273
41.5055,-87.6345,1,1274
41.5056,-87.9216,1,1275
41.5056,-87.8622,2,1276
41.5056,-87.8561,3,1277
41.50561,-87.85607,2,1278
41.50561,-87.72942,1,1279
41.50575,-87.64715,1,1280
41.5058,-87.8583,1,1281
41.5058,-87.6786,1,1282
41.5058,-87.6471,1,1283
41.506,-87.662,2,1284
41.50616,-87.67112,1,1285
41.50621,-87.72482,1,1286
41.50625,-87.67816,1,1287
41.5064,-87.6795,3,1288
41.5067,-87.6787,6,1289
41.50673,-87.34468,2,1290
41.5068,-87.3447,1,1291
41.5069,-87.3366,2,1292
41.507,-87.4737,3,1293
41.50725,-87.84893,1,1294
41.5077,-87.7252,1,1295
41.5077,-87.333,3,1296
41.50776,-87.33602,1,1297
41.508,-87.3618,1,1298
41.50829,-87.51999,1,1299
41.5083,-87.7304,2,1300
41.50892,-87.336,1,1301
41.5098,-87.928,1,1302
41.5106,-87.8556,9,1303
41.511,-87.9315,2,1304
41.5113,-87.8514,1,1305
41.51138,-87.47107,1,1306
41.51156,-87.95668,5,1307
41.5116,-87.9566,3,1308
41.5116,-87.8514,1,1309
41.51169,-87.47825,1,1310
41.5117,-87.3356,1,1311
41.51192,-88.22054,1,1312
41.512,-87.9656,4,1313
41.512,-87.7067,1,1314
41.5122,-87.3356,4,1315
41.5123,-87.6425,2,1316
41.5123,-87.3367,2,1317
41.5123,-87.2572,1,1318
41.51231,-87.9568,1,1319
41.5124,-87.9535,1,1320
41.5125,-87.9638,3,1321
41.5125,-87.2613,23,1322
41.51254,-87.96378,1,1323
41.51257,-87.87867,1,1324
41.5126,-87.9441,1,1325
41.5126,-87.2613,4,1326
41.51265,-87.2589,7,1327
41.5127,-87.2603,12,1328
41.5127,-87.2568,3,1329
41.51271,-87.26031,1,1330
41.5129,-87.952,2,1331
